*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2017 196   247    58   15.0      3   2.30   1735    890      0    717   2625   2633      0    0.0  0.000      8      0  0.000  0.000  0.067  0.416  0.000  0.000  0.000   2.08   0.00   0.00      0      8    132.8   1.11   0.00   0.83    2.91    3.16    2.10    1.72    1.08    0.65    0.00    0.00      0      0      0       0      63 13.65
 2017 197   248    59   15.0      3   2.27   1772    966      0    755   2738   2751      0    0.0  0.000     13      0  0.000  0.000  0.086  0.337  0.000  0.000  0.000   2.03   0.00   0.00      0     13    128.1   1.11   0.00   0.83    2.97    3.22    2.14    1.75    1.10    0.82    0.00    0.00      0      0      0       0      67  9.20
 2017 198   249    60   16.0      3   2.24   1817   1067      0    773   2885   2905      0    0.0  0.000     20      0  0.000  0.000  0.097  0.455  0.000  0.000  0.000   1.97   0.00   0.01      0     20    123.1   1.11   0.00   0.85    2.99    3.25    2.16    1.76    1.11    0.90    0.00    0.00      0      0      0       0      71 14.95
 2017 199   250    61   16.0      3   2.19   1852   1147      0    805   2999   3027      0    0.0  0.000     28      0  0.000  0.000  0.102  0.383  0.000  0.000  0.000   1.92   0.00   0.01      0     28    118.1   1.11   0.00   0.86    3.06    3.32    2.20    1.79    1.12    1.03    0.00    0.00      0      0      0       0      75 10.70
 2017 200   251    62   16.0      3   2.14   1895   1250      0    817   3145   3183      0    0.0  0.000     38      0  0.000  0.000  0.112  0.306  0.000  0.000  0.000   1.86   0.00   0.01      0     38    113.0   1.11   0.00   0.87    3.09    3.35    2.22    1.80    1.13    1.07    0.00    0.00      0      0      0       0      79 12.25
 2017 201   252    63   17.0      3   2.09   1939   1363      0    823   3302   3351      0    0.0  0.000     49      0  0.000  0.000  0.116  0.229  0.000  0.000  0.000   1.79   0.00   0.01      0     49    108.0   1.11   0.00   0.89    3.11    3.36    2.23    1.81    1.14    1.09    0.00    0.00      0      0      0       0      83 16.95
 2017 202   253    64   17.0      3   2.04   1980   1470      0    828   3450   3516      0    0.0  0.000     65      0  0.000  0.000  0.122  0.425  0.000  0.000  0.000   1.74   0.00   0.02      0     65    103.1   1.11   0.00   0.90    3.13    3.38    2.25    1.82    1.14    1.10    0.00    0.00      0      0      0       0      87 17.90
 2017 203   254    65   17.0      3   1.98   2019   1569      0    833   3588   3676      0    0.0  0.000     88      0  0.000  0.000  0.130  0.446  0.000  0.000  0.000   1.69   0.00   0.02      0     88     98.2   1.11   0.00   0.91    3.15    3.39    2.26    1.83    1.14    1.10    0.01    0.00      0      0      0       0      91 17.65
 2017 204   255    66   18.0      3   1.90   2040   1611      0    868   3652   3770      0    0.0  0.000    118      0  0.000  0.000  0.137  0.667  0.000  0.000  0.000   1.67   0.00   0.03      0    118     93.3   1.11   0.00   0.93    3.27    3.51    2.33    1.88    1.18    1.12    0.07    0.00      0      0      0       0      95 16.45
 2017 205   256    67   18.0      3   1.83   2068   1665      0    888   3734   3891      0    0.0  0.000    157      0  0.000  0.000  0.143  0.608  0.000  0.000  0.000   1.66   0.00   0.04      0    157     88.5   1.11   0.00   0.94    3.32    3.56    2.37    1.91    1.20    1.13    0.12    0.00      0      0      0       0      99 17.80
 2017 206   257    68   18.0      3   1.77   2102   1729      0    894   3831   4036      0    0.0  0.000    205      0  0.000  0.000  0.139  0.493  0.000  0.000  0.000   1.65   0.00   0.05      0    205     84.1   1.11   0.00   0.95    3.33    3.57    2.38    1.91    1.20    1.13    0.15    0.00      0      0      0       0     104 16.55
 2017 207   258    69   18.0      3   1.71   2129   1764      0    912   3894   4153      0    0.0  0.000    259      0  0.000  0.000  0.137  0.384  0.000  0.000  0.000   1.65   0.00   0.06      0    259     80.1   1.11   0.00   0.96    3.38    3.62    2.40    1.93    1.21    1.14    0.21    0.00      0      0      0       0     108 10.95
 2017 208   259    70   18.0      3   1.65   2163   1817      0    916   3979   4296      0    0.0  0.000    317      0  0.000  0.000  0.136  0.274  0.000  0.000  0.000   1.65   0.00   0.07      0    317     76.4   1.11   0.00   0.97    3.38    3.62    2.41    1.93    1.21    1.14    0.23    0.00      0      0      0       0     113 13.35
 2017 209   260    71   18.0      3   1.60   2193   1844      0    926   4036   4424      0    0.0  0.000    388      0  0.000  0.000  0.131  0.550  0.000  0.000  0.000   1.65   0.00   0.09      0    388     73.1   1.11   0.00   0.98    3.40    3.64    2.42    1.94    1.22    1.14    0.27    0.00      0      0      0       0     117 16.40
 2017 210   261    72   18.0      3   1.56   2224   1867      0    932   4091   4556      0    0.0  0.000    466      0  0.000  0.000  0.129  0.443  0.000  0.000  0.000   1.66   0.00   0.10      0    466     70.0   1.11   0.00   0.99    3.41    3.64    2.42    1.95    1.22    1.14    0.30    0.00      0      0      0       0     122 13.70
 2017 211   262    73   18.0      3   1.52   2255   1887      0    936   4142   4691      0    0.0  0.000    549      0  0.000  0.000  0.125  0.346  0.000  0.000  0.000   1.66   0.00   0.12      0    549     67.2   1.11   0.00   1.00    3.41    3.65    2.42    1.95    1.22    1.14    0.32    0.00      0      0      0       0     127 11.85
 2017 212   263    74   18.0      4   1.45   2229   1964      0    938   4193   4804      0    0.0  0.000    611      0  0.000  0.000  0.121  0.257  0.000  0.000  0.000   1.66   0.00   0.13      0    611     64.9   1.11   0.00   1.01    3.41    3.64    2.42    1.94    1.22    1.14    0.34    0.00      0      0      0       0     131 10.90
 2017 213   264    75   18.0      4   1.38   2202   2034      0    939   4235   4912      0    0.0  0.000    676      0  0.000  0.000  0.114  0.169  0.000  0.000  0.000   1.67   0.00   0.14      0    676     62.9   1.11   0.00   1.02    3.41    3.64    2.42    1.94    1.22    1.13    0.35    0.00      0      0      0       0     136 13.40
 2017 214   265    76   18.0      4   1.33   2172   2097      0    940   4269   5015      0    0.0  0.000    747      0  0.000  0.000  0.107  0.100  0.000  0.000  0.000   1.68   0.00   0.15      0    747     61.2   1.11   0.00   1.03    3.40    3.64    2.42    1.94    1.21    1.13    0.37    0.00      0      0      0       0     141 14.40
 2017 215   266    77   18.0      4   1.28   2141   2153      0    941   4293   5114      0    0.0  0.000    820      0  0.000  0.000  0.100  0.031  0.000  0.000  0.000   1.68   0.00   0.16      0    820     59.8   1.11   0.00   1.04    3.40    3.63    2.41    1.93    1.21    1.13    0.38    0.00      0      0      0       0     146 15.20
 2017 216   267    78   18.0      4   1.24   2107   2203      0    942   4310   5208      0    0.0  0.000    898      0  0.000  0.000  0.092  0.005  0.000  0.000  0.000   1.69   0.00   0.17      0    898     58.6   1.11   0.00   1.05    3.40    3.63    2.41    1.93    1.21    1.12    0.39    0.00      0      0      0       0     150 15.30
 2017 217   268    79   18.0      4   1.20   2072   2249      0    943   4321   5298      0    0.0  0.000    977      0  0.000  0.000  0.084  0.000  0.000  0.000  0.000   1.70   0.00   0.18      0    977     57.7   1.11   0.00   1.06    3.40    3.62    2.41    1.93    1.21    1.12    0.40    0.00      0      0      0       0     155 12.45
 2017 218   269    80   18.0      4   1.16   2037   2291      0    943   4327   5386      0    0.0  0.000   1058      0  0.000  0.000  0.077  0.000  0.000  0.000  0.000   1.72   0.00   0.20      0   1058     57.1   1.11   0.00   1.06    3.39    3.62    2.41    1.92    1.21    1.12    0.41    0.00      0      0      0       0     160  8.80
