*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2017 130   181   0.000    0.00       0    0.00
 2017 131   182   0.000    0.00       0    0.00
 2017 132   183   0.000    0.00       0    0.00
 2017 133   184   0.000    0.00       0    0.00
 2017 134   185   0.000    0.00       0    0.00
 2017 135   186   0.000    0.00       0    0.00
 2017 136   187   0.000    0.00       0    0.00
 2017 137   188   0.000    0.00       0    0.00
 2017 138   189   0.000    0.00       0    0.00
 2017 139   190   0.000    0.00       0    0.00
 2017 140   191   0.000    0.00       0    0.00
 2017 141   192   0.000    0.00       0    0.00
 2017 142   193   0.000    0.00       0    0.00
 2017 143   194   0.000    0.00       0    0.00
 2017 144   195   0.000    0.00       0    0.00
 2017 145   196   0.000    0.00       0    0.00
 2017 146   197   0.000    0.00       0    0.00
 2017 147   198   0.000    0.00       0    0.00
 2017 148   199   0.000    0.00       0    0.00
 2017 149   200   0.000    0.00       0    0.00
 2017 150   201   0.000    0.00       0    0.00
 2017 151   202   0.000    0.00       0    0.00
 2017 152   203   0.000    0.00       0    0.00
 2017 153   204   0.000    0.00       0    0.00
 2017 154   205   0.000    0.00       0    0.00
 2017 155   206   0.000    0.00       0    0.00
 2017 156   207   0.000    0.00       0    0.00
 2017 157   208   0.000    0.00       0    0.00
 2017 158   209   0.000    0.00       0    0.00
 2017 159   210   0.000    0.00       0    0.00
 2017 160   211   0.000    0.00       0    0.00
 2017 161   212   0.000    0.00       0    0.00
 2017 162   213   0.000    0.00       0    0.00
 2017 163   214   0.000    0.00       0    0.00
 2017 164   215   0.000    0.00       0    0.00
 2017 165   216   0.000    0.00       0    0.00
 2017 166   217   0.000    0.00       0    0.00
 2017 167   218   0.000    0.00       0    0.00
 2017 168   219   0.000    0.00       0    0.00
 2017 169   220   0.000    0.00       0    0.00
 2017 170   221   0.000    0.00       0    0.00
 2017 171   222   0.000    0.00       0    0.00
 2017 172   223   0.000    0.00       0    0.00
 2017 173   224   0.000    0.00       0    0.00
 2017 174   225   0.000    0.00       0    0.00
 2017 175   226   0.000    0.00       0    0.00
 2017 176   227   0.000    0.00       0    0.00
 2017 177   228   0.000    0.00       0    0.00
 2017 178   229   0.000    0.00       0    0.00
 2017 179   230   0.000    0.00       0    0.00
 2017 180   231   0.000    0.00       0    0.00
 2017 181   232   0.000    0.00       0    0.00
 2017 182   233   0.000    0.00       0    0.00
 2017 183   234   0.000    0.00       0    0.00
 2017 184   235   0.000    0.00       0    0.00
 2017 185   236   0.000    0.00       0    0.00
 2017 186   237   0.000    0.00       0    0.00
 2017 187   238   0.000    0.00       0    0.00
 2017 188   239   0.000    0.00       0    0.00
 2017 189   240   0.000    0.00       0    0.00
 2017 190   241   0.000    0.00       0    0.00
 2017 191   242   0.000    0.00       0    0.00
 2017 192   243   0.000    0.00       0    0.00
 2017 193   244   0.000    0.00       0    0.00
 2017 194   245   0.000    0.00       0    0.00
 2017 195   246   0.000    0.00       0    0.00
 2017 196   247   0.000    0.00       0    0.00
 2017 197   248   0.000    0.00       0    0.00
 2017 198   249   0.000    0.00       0    0.00
 2017 199   250   0.000    0.00       0    0.00
 2017 200   251   0.000    0.00       0    0.00
 2017 201   252   0.000    0.00       0    0.00
 2017 202   253   0.000    0.00       0    0.00
 2017 203   254   0.000    0.00       0    0.00
 2017 204   255   0.000    0.00       0    0.00
 2017 205   256   0.000    0.00       0    0.00
 2017 206   257   0.000    0.00       0    0.00
 2017 207   258   0.000    0.00       0    0.00
 2017 208   259   0.000    0.00       0    0.00
 2017 209   260   0.000    0.00       0    0.00
 2017 210   261   0.000    0.00       0    0.00
 2017 211   262   0.000    0.00       0    0.00
 2017 212   263   0.000    0.00       0    0.00
 2017 213   264   0.000    0.00       0    0.00
 2017 214   265   0.000    0.00       0    0.00
 2017 215   266   0.000    0.00       0    0.00
 2017 216   267   0.000    0.00       0    0.00
 2017 217   268   0.000    0.00       0    0.00
 2017 218   269   0.000    0.00       0    0.00
 2017 219   270   0.000    0.00       0    0.00
 2017 220   271   0.000    0.00       0    0.00
 2017 221   272   0.000    0.00       0    0.00
 2017 222   273   0.000    0.00       0    0.00
 2017 223   274   0.000    0.00       0    0.00
 2017 224   275   0.000    0.00       0    0.00
 2017 225   276   0.000    0.00       0    0.00
 2017 226   277   0.000    0.00       0    0.00
 2017 227   278   0.000    0.00       0    0.00
 2017 228   279   0.000    0.00       0    0.00
 2017 229   280   0.000    0.00       0    0.00
 2017 230   281   0.000    0.00       0    0.00
 2017 231   282   0.000    0.00       0    0.00
 2017 232   283   0.000    0.00       0    0.00
