*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2017 223   274    85   77.1    0.0   77.1   0.00   1.80   86.3   33.0   44.0    1.8   1.80   0.95    0.00    1.79
 2017 224   275    86   77.5    0.0   77.5   0.00   1.82   86.8   32.6   44.9    1.8   1.82   0.96    0.00    1.83
 2017 225   276    87   77.8    0.0   77.8   0.00   1.84   87.4   32.1   45.7    1.8   1.84   0.98    0.00    1.88
 2017 226   277    88   78.2    1.9   76.3   1.70   1.80   87.9   31.5   44.8    1.8   1.80   0.99    0.00    1.92
 2017 227   278    89   78.6    3.8   74.8   1.70   1.77   88.4   30.9   43.9    1.8   1.77   1.00    0.00    1.97
 2017 228   279    90   79.0    5.7   73.3   1.70   1.73   88.9   30.3   43.1    1.7   1.73   1.00    0.00    2.02
 2017 229   280    91   79.4    7.5   71.8   1.69   1.70   89.4   29.7   42.2    1.7   1.70   1.01    0.00    2.06
 2017 230   281    92   79.7    9.4   70.3   1.69   1.66   89.8   29.0   41.3    1.7   1.66   1.02    0.00    2.11
 2017 231   282    93   80.0   11.3   68.7   1.69   1.63   90.2   28.4   40.4    1.6   1.63   1.02    0.00    2.16
 2017 232   283    94   80.2   13.1   67.1   1.68   1.59   90.5   27.7   39.4    1.6   1.59   1.03    0.00    2.21
 2017 233   284    95   80.5   14.9   65.6   1.68   1.55   90.8   27.1   38.5    1.6   1.55   1.03    0.00    2.26
 2017 234   285    96   80.7   16.7   64.0   1.67   1.51   91.1   26.4   37.6    1.5   1.51   1.03    0.00    2.30
 2017 235   286    97   81.0   18.5   62.5   1.67   1.48   91.4   25.8   36.7    1.5   1.48   1.04    0.00    2.35
 2017 236   287    98   81.2   20.3   60.9   1.66   1.44   91.7   25.1   35.8    1.4   1.44   1.04    0.00    2.40
