*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2017 009    60       0   12924   64465       0   64465   62865  1600.4    0.00  1819.5  8913.1    0.00  8913.1  8867.7   45.40
 2017 010    61       0   12925   64464       0   64464   62866  1598.4    0.00  1819.6  8913.1    0.00  8913.1  8867.8   45.33
 2017 011    62       0   12925   64463       0   64463   62867  1596.6    0.00  1819.6  8913.1    0.00  8913.1  8867.8   45.26
 2017 012    63       0   12926   64462       0   64462   62867  1594.5    0.00  1819.7  8913.1    0.00  8913.1  8867.9   45.19
 2017 013    64       0   12927   64460       0   64460   62869  1591.9    0.00  1819.7  8913.1    0.00  8913.1  8868.0   45.09
 2017 014    65       0   12927   64459       0   64459   62870  1588.8    0.00  1819.8  8913.1    0.00  8913.1  8868.1   44.98
 2017 015    66       0   12928   64457       0   64457   62871  1585.2    0.00  1819.9  8913.0    0.00  8913.0  8868.2   44.84
 2017 016    67       0   12929   64454       0   64454   62873  1581.3    0.00  1820.0  8913.0    0.00  8913.0  8868.3   44.70
 2017 017    68       0   12930   64452       0   64452   62875  1577.6    0.00  1820.1  8913.0    0.00  8913.0  8868.5   44.56
 2017 018    69       0   12931   64451       0   64451   62876  1574.4    0.00  1820.1  8913.0    0.00  8913.0  8868.6   44.44
 2017 019    70       0   12932   64449       0   64449   62877  1571.9    0.00  1820.2  8913.0    0.00  8913.0  8868.6   44.35
 2017 020    71       0   12933   64447       0   64447   62878  1569.0    0.00  1820.2  8913.0    0.00  8913.0  8868.7   44.25
 2017 021    72       0   12934   64445       0   64445   62880  1565.6    0.00  1820.3  8913.0    0.00  8913.0  8868.8   44.12
 2017 022    73       0   12935   64443       0   64443   62881  1562.0    0.00  1820.4  8913.0    0.00  8913.0  8869.0   43.99
 2017 023    74       0   12936   64441       0   64441   62883  1557.4    0.00  1820.5  8912.9    0.00  8912.9  8869.1   43.82
 2017 024    75       0   12937   64437       0   64437   62886  1551.7    0.00  1820.6  8912.9    0.00  8912.9  8869.3   43.61
 2017 025    76       0   12939   64434       0   64434   62888  1545.6    0.00  1820.7  8912.9    0.00  8912.9  8869.5   43.38
 2017 026    77       0   12941   64430       0   64430   62891  1538.9    0.00  1820.8  8912.8    0.00  8912.8  8869.7   43.13
 2017 027    78       0   12942   64427       0   64427   62894  1533.1    0.00  1821.0  8912.8    0.00  8912.8  8869.9   42.92
 2017 028    79       0   12943   64424       0   64424   62896  1527.7    0.00  1821.1  8912.8    0.00  8912.8  8870.1   42.72
 2017 029    80       0   12945   64421       0   64421   62898  1523.3    0.00  1821.2  8912.8    0.00  8912.8  8870.2   42.56
 2017 030    81       0   12946   64419       0   64419   62900  1519.4    0.00  1821.3  8912.8    0.00  8912.8  8870.3   42.42
 2017 031    82       0   12947   64417       0   64417   62901  1515.8    0.00  1821.3  8912.7    0.00  8912.7  8870.5   42.28
 2017 032    83       0   12947   64415       0   64415   62902  1512.8    0.00  1821.4  8912.7    0.00  8912.7  8870.6   42.17
 2017 033    84       0   12948   64414       0   64414   62904  1509.8    0.00  1821.5  8912.7    0.00  8912.7  8870.7   42.06
 2017 034    85       0   12949   64411       0   64411   62905  1506.3    0.00  1821.5  8912.7    0.00  8912.7  8870.8   41.93
 2017 035    86       0   12950   64409       0   64409   62907  1502.7    0.00  1821.6  8912.7    0.00  8912.7  8870.9   41.80
 2017 036    87       0   12951   64408       0   64408   62908  1499.3    0.00  1821.7  8912.7    0.00  8912.7  8871.0   41.67
 2017 037    88       0   12952   64405       0   64405   62910  1495.8    0.00  1821.7  8912.6    0.00  8912.6  8871.1   41.55
 2017 038    89       0   12953   64404       0   64404   62911  1492.3    0.00  1821.8  8912.6    0.00  8912.6  8871.2   41.42
 2017 039    90       0   12954   64402       0   64402   62913  1489.2    0.00  1821.9  8912.6    0.00  8912.6  8871.3   41.30
 2017 040    91       0   12954   64400       0   64400   62914  1486.3    0.00  1821.9  8912.6    0.00  8912.6  8871.4   41.20
 2017 041    92       0   12955   64398       0   64398   62915  1482.6    0.00  1822.0  8912.6    0.00  8912.6  8871.5   41.06
 2017 042    93       0   12956   64396       0   64396   62917  1478.8    0.00  1822.1  8912.6    0.00  8912.6  8871.6   40.92
 2017 043    94       0   12957   64394       0   64394   62919  1475.0    0.00  1822.2  8912.5    0.00  8912.5  8871.8   40.78
 2017 044    95       0   12958   64391       0   64391   62920  1470.8    0.00  1822.2  8912.5    0.00  8912.5  8871.9   40.63
 2017 045    96       0   12959   64389       0   64389   62922  1466.5    0.00  1822.3  8912.5    0.00  8912.5  8872.0   40.47
