*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                  Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2016 353    38   26249   0.936   10981   0.388   27925   0.996   10981   0.388     64509       0   64509    8650   15631   10934    5538   23756       0     193      55      99      11       6      23    1197     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1676     552    1124       0       0       0       0    1175     385     790       0       0       0       0     501     167     334       0       0       0       0       0     170
 2016 354    39   26250   0.936   10981   0.388   27924   0.996   10981   0.388     64507       0   64507    8649   15630   10934    5538   23756       0     194      55      99      11       6      23    1197     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1674     551    1123       0       0       0       0    1173     384     788       0       0       0       0     501     167     334       0       0       0       0       0     171
 2016 355    40   26251   0.936   10981   0.388   27923   0.995   10981   0.388     64506       0   64506    8649   15629   10934    5538   23756       0     195      55     100      11       6      23    1197     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1672     550    1121       0       0       0       0    1171     384     787       0       0       0       0     501     167     334       0       0       0       0       0     172
 2016 356    41   26252   0.936   10981   0.388   27922   0.995   10981   0.388     64505       0   64505    8649   15629   10934    5538   23756       0     196      56     101      11       6      23    1197     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1670     550    1120       0       0       0       0    1169     383     786       0       0       0       0     501     167     334       0       0       0       0       0     174
 2016 357    42   26253   0.936   10981   0.388   27921   0.995   10981   0.388     64504       0   64504    8648   15628   10934    5538   23756       0     197      56     101      11       6      23    1197     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1668     549    1119       0       0       0       0    1167     382     785       0       0       0       0     501     167     334       0       0       0       0       0     175
 2016 358    43   26254   0.936   10981   0.388   27920   0.995   10981   0.388     64503       0   64503    8648   15627   10934    5538   23756       0     198      56     102      11       6      23    1197     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1666     548    1117       0       0       0       0    1165     382     783       0       0       0       0     501     167     334       0       0       0       0       0     176
 2016 359    44   26255   0.936   10981   0.388   27918   0.995   10981   0.388     64501       0   64501    8648   15626   10934    5538   23756       0     199      56     103      11       6      23    1197     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1663     548    1116       0       0       0       0    1163     381     781       0       0       0       0     501     167     334       0       0       0       0       0     177
 2016 360    45   26256   0.936   10981   0.388   27917   0.995   10981   0.388     64500       0   64500    8647   15625   10934    5538   23756       0     200      57     103      11       6      23    1197     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1661     547    1113       0       0       0       0    1160     381     779       0       0       0       0     501     167     334       0       0       0       0       0     179
 2016 361    46   26257   0.936   10981   0.388   27915   0.995   10981   0.388     64498       0   64498    8647   15624   10934    5538   23756       0     201      57     104      11       6      23    1197     155     277     208     105     452   61442    7889   14131   10715    5427   23281       0    1658     547    1111       0       0       0       0    1157     380     777       0       0       0       0     501     167     334       0       0       0       0       0     181
 2016 362    47   26259   0.936   10981   0.388   27913   0.995   10981   0.388     64496       0   64496    8646   15622   10934    5538   23756       0     202      57     105      11       6      23    1197     155     277     208     105     452   61442    7889   14131   10715    5427   23281       0    1654     546    1109       0       0       0       0    1154     379     775       0       0       0       0     500     167     334       0       0       0       0       0     183
 2016 363    48   26261   0.936   10981   0.388   27911   0.995   10981   0.388     64494       0   64494    8646   15621   10934    5538   23756       0     204      58     107      11       6      23    1197     155     277     208     105     452   61442    7889   14131   10715    5427   23281       0    1650     544    1106       0       0       0       0    1150     378     772       0       0       0       0     500     167     334       0       0       0       0       0     185
