*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    
 2017 181   232  13.30  24.60  15.70  3.142  1.268  1.828  3.097  1.268  1.828  0.000  0.000  354.41  353.99   16.36  337.63    0.00    0.00   0.474   0.376   0.313   0.206   0.115   0.151   0.106   0.087
 2017 182   233  13.30  25.70  16.70  3.208  1.399  1.782  3.181  1.399  1.782  0.000  0.000  357.62  357.17   17.76  339.41    0.00    0.00   0.488   0.372   0.298   0.192   0.108   0.142   0.099   0.082
 2017 183   234  13.20  26.10  17.50  3.201  1.483  1.688  3.172  1.483  1.688  0.000  0.000  360.82  360.34   19.24  341.10    0.00    0.00   0.457   0.351   0.283   0.182   0.104   0.137   0.096   0.078
 2017 184   235  13.20  26.00  14.50  3.105  1.504  1.563  3.068  1.504  1.563  0.000  0.000  363.93  363.41   20.74  342.67    0.00    0.00   0.415   0.323   0.263   0.169   0.097   0.130   0.092   0.074
 2017 185   236  13.20  30.00  19.00  3.343  1.724  1.586  3.310  1.724  1.586  0.000  0.000  367.27  366.72   22.47  344.25    0.00    0.00   0.414   0.327   0.267   0.172   0.100   0.134   0.097   0.076
 2017 186   237  13.20  27.90  16.50  3.178  1.770  1.380  3.150  1.770  1.380  0.000  0.000  370.45  369.87   24.24  345.63    0.00    0.00   0.361   0.281   0.231   0.149   0.087   0.118   0.085   0.067
 2017 187   238  13.20  28.90  17.80  3.227  1.908  1.293  3.201  1.908  1.293  0.000  0.000  373.68  373.07   26.15  346.93    0.00    0.00   0.340   0.261   0.214   0.140   0.082   0.112   0.081   0.064
 2017 188   239  13.20  29.10  18.40  3.227  2.017  1.183  3.200  2.017  1.183  0.000  0.000  376.90  376.27   28.16  348.11    0.00    0.00   0.326   0.232   0.192   0.126   0.075   0.102   0.074   0.058
 2017 189   240  13.10  31.30  22.60  3.368  2.200  1.128  3.328  2.200  1.128  0.000  0.000  380.27  379.60   30.36  349.24    0.00    0.00   0.323   0.216   0.179   0.118   0.071   0.097   0.070   0.055
 2017 190   241  13.10  29.20  15.30  3.101  2.112  0.947  3.060  2.112  0.947  0.000  0.000  383.37  382.66   32.48  350.18    0.00    0.00   0.266   0.181   0.151   0.100   0.061   0.082   0.060   0.047
 2017 191   242  13.10  25.50  15.00  2.948  2.085  0.830  2.915  2.085  0.830  0.000  0.000  386.32  385.57   34.56  351.01    0.00    0.00   0.230   0.158   0.132   0.088   0.054   0.073   0.053   0.042
 2017 192   243  13.10  28.80  18.40  3.132  2.266  0.822  3.088  2.266  0.822  0.000  0.000  389.45  388.66   36.83  351.84    0.00    0.00   0.229   0.166   0.133   0.083   0.051   0.070   0.051   0.040
 2017 193   244  13.00  27.70  20.00  3.096  2.332  0.732  3.064  2.332  0.732  0.000  0.000  392.55  391.73   39.16  352.57    0.00    0.00   0.206   0.157   0.121   0.070   0.043   0.059   0.043   0.034
 2017 194   245  13.00  27.70  20.00  3.087  2.372  0.680  3.052  2.372  0.680  0.000  0.000  395.63  394.78   41.53  353.25    0.00    0.00   0.190   0.145   0.112   0.066   0.040   0.055   0.040   0.032
 2017 195   246  13.00  27.90  21.70  3.126  2.420  0.658  3.078  2.420  0.658  0.000  0.000  398.76  397.86   43.95  353.91    0.00    0.00   0.182   0.138   0.112   0.066   0.038   0.052   0.039   0.030
 2017 196   247  13.00  26.60  16.70  2.965  2.303  0.611  2.914  2.303  0.611  0.000  0.000  401.72  400.77   46.25  354.52    0.00    0.00   0.168   0.128   0.107   0.063   0.035   0.048   0.035   0.028
 2017 197   248  12.90  20.40  14.00  2.668  2.081  0.550  2.631  2.081  0.550  0.000  0.000  404.39  403.40   48.33  355.07    0.00    0.00   0.150   0.115   0.096   0.056   0.032   0.043   0.032   0.025
 2017 198   249  12.90  26.20  19.70  2.998  2.329  0.633  2.962  2.329  0.633  0.000  0.000  407.39  406.36   50.66  355.70    0.00    0.00   0.173   0.132   0.111   0.065   0.037   0.049   0.037   0.029
 2017 199   250  12.90  24.80  12.60  2.792  2.151  0.603  2.754  2.151  0.603  0.000  0.000  410.18  409.12   52.81  356.30    0.00    0.00   0.165   0.126   0.106   0.063   0.035   0.046   0.035   0.027
 2017 200   251  12.80  26.70  13.80  2.866  2.207  0.639  2.846  2.207  0.639  0.000  0.000  413.05  411.96   55.02  356.94    0.00    0.00   0.174   0.133   0.112   0.066   0.038   0.049   0.037   0.029
 2017 201   252  12.80  29.50  20.40  3.114  2.368  0.717  3.086  2.368  0.717  0.000  0.000  416.16  415.05   57.39  357.66    0.00    0.00   0.194   0.149   0.126   0.074   0.043   0.056   0.042   0.033
 2017 202   253  12.80  31.90  19.90  3.188  2.396  0.758  3.155  2.396  0.758  0.000  0.000  419.35  418.20   59.79  358.42    0.00    0.00   0.202   0.154   0.130   0.083   0.055   0.057   0.043   0.034
 2017 203   254  12.70  29.60  21.70  3.133  2.328  0.773  3.100  2.328  0.773  0.000  0.000  422.48  421.30   62.11  359.19    0.00    0.00   0.203   0.155   0.130   0.090   0.063   0.056   0.042   0.033
 2017 204   255  12.70  29.50  19.40  3.084  2.239  0.793  3.031  2.239  0.793  0.000  0.000  425.57  424.33   64.35  359.98    0.00    0.00   0.205   0.156   0.131   0.090   0.065   0.069   0.043   0.033
 2017 205   256  12.60  28.90  22.70  3.122  2.249  0.847  3.096  2.249  0.847  0.000  0.000  428.69  427.43   66.60  360.83    0.00    0.00   0.216   0.163   0.137   0.095   0.071   0.086   0.046   0.035
 2017 206   257  12.60  31.00  18.10  3.098  2.169  0.884  3.053  2.169  0.884  0.000  0.000  431.79  430.48   68.77  361.71    0.00    0.00   0.224   0.169   0.143   0.098   0.073   0.088   0.050   0.038
 2017 207   258  12.60  23.80  14.10  2.769  1.912  0.824  2.736  1.912  0.824  0.000  0.000  434.56  433.22   70.68  362.54    0.00    0.00   0.207   0.157   0.133   0.092   0.068   0.081   0.048   0.037
 2017 208   259  12.50  25.60  17.10  2.881  1.947  0.895  2.842  1.947  0.895  0.000  0.000  437.44  436.06   72.63  363.43    0.00    0.00   0.224   0.171   0.144   0.100   0.073   0.088   0.053   0.043
 2017 209   260  12.50  27.60  21.20  3.046  2.038  0.981  3.020  2.038  0.981  0.000  0.000  440.49  439.08   74.67  364.41    0.00    0.00   0.247   0.189   0.160   0.109   0.078   0.094   0.057   0.047
 2017 210   261  12.40  27.10  16.30  2.905  1.892  0.969  2.861  1.892  0.969  0.000  0.000  443.39  441.94   76.56  365.38    0.00    0.00   0.246   0.188   0.159   0.108   0.075   0.090   0.056   0.046
 2017 211   262  12.40  25.30  14.40  2.806  1.799  0.966  2.765  1.799  0.966  0.000  0.000  446.20  444.71   78.36  366.35    0.00    0.00   0.244   0.188   0.158   0.108   0.075   0.090   0.057   0.047
 2017 212   263  12.40  24.60  13.20  2.760  1.755  0.977  2.732  1.755  0.977  0.000  0.000  448.96  447.44   80.11  367.33    0.00    0.00   0.245   0.190   0.161   0.109   0.075   0.091   0.058   0.048
 2017 213   264  12.30  26.70  16.10  2.880  1.800  1.069  2.868  1.800  1.069  0.000  0.000  451.84  450.31   81.91  368.39    0.00    0.00   0.265   0.208   0.176   0.120   0.082   0.099   0.065   0.053
 2017 214   265  12.30  27.30  17.50  2.939  1.792  1.138  2.929  1.792  1.138  0.000  0.000  454.78  453.23   83.70  369.53    0.00    0.00   0.280   0.221   0.188   0.128   0.087   0.106   0.070   0.058
 2017 215   266  12.20  28.90  17.50  2.976  1.763  1.196  2.960  1.763  1.196  0.000  0.000  457.75  456.19   85.47  370.73    0.00    0.00   0.291   0.232   0.198   0.135   0.092   0.112   0.075   0.062
 2017 216   267  12.20  28.50  18.10  2.982  1.718  1.240  2.959  1.718  1.240  0.000  0.000  460.73  459.15   87.18  371.97    0.00    0.00   0.298   0.240   0.205   0.140   0.095   0.117   0.079   0.066
 2017 217   268  12.10  28.40  12.50  2.835  1.571  1.216  2.787  1.571  1.216  0.000  0.000  463.57  461.94   88.76  373.18    0.00    0.00   0.293   0.233   0.200   0.138   0.094   0.115   0.079   0.065
 2017 218   269  12.10  20.40  13.20  2.590  1.410  1.141  2.550  1.410  1.141  0.000  0.000  466.16  464.49   90.17  374.32    0.00    0.00   0.276   0.217   0.187   0.129   0.088   0.108   0.075   0.061
 2017 219   270  12.00  24.80  15.90  2.779  1.506  1.253  2.759  1.506  1.253  0.000  0.000  468.94  467.25   91.67  375.58    0.00    0.00   0.301   0.238   0.205   0.142   0.096   0.119   0.083   0.068
 2017 220   271  11.90  23.10  13.80  2.657  1.412  1.223  2.635  1.412  1.223  0.000  0.000  471.59  469.88   93.08  376.80    0.00    0.00   0.290   0.232   0.201   0.139   0.094   0.117   0.082   0.068
 2017 221   272  11.90  24.00  10.70  2.621  1.370  1.227  2.597  1.370  1.227  0.000  0.000  474.21  472.48   94.45  378.03    0.00    0.00   0.049   0.106   0.162   0.161   0.138   0.220   0.197   0.194
 2017 222   273  11.80  26.20  10.70  2.673  1.382  1.270  2.653  1.382  1.270  0.000  0.000  476.89  475.13   95.84  379.30    0.00    0.00   0.051   0.109   0.167   0.166   0.142   0.227   0.206   0.203
 2017 223   274  11.80  26.10  13.10  2.725  1.393  1.309  2.702  1.393  1.309  0.000  0.000  479.61  477.84   97.23  380.61    0.00    0.00   0.052   0.112   0.172   0.170   0.145   0.234   0.214   0.211
 2017 224   275  11.70  27.50  15.50  2.800  1.414  1.357  2.771  1.414  1.357  0.000  0.000  482.41  480.61   98.64  381.96    0.00    0.00   0.056   0.115   0.177   0.176   0.150   0.242   0.222   0.219
 2017 225   276  11.70  22.20  12.60  2.569  1.291  1.251  2.541  1.291  1.251  0.000  0.000  484.98  483.15   99.93  383.21    0.00    0.00   0.306   0.231   0.202   0.140   0.094   0.119   0.087   0.072
 2017 226   277  11.60  23.30  11.80  2.564  1.292  1.251  2.543  1.292  1.251  0.000  0.000  487.55  485.69  101.23  384.47    0.00    0.00   0.052   0.104   0.162   0.161   0.137   0.223   0.208   0.204
 2017 227   278  11.50  23.40  14.20  2.596  1.321  1.266  2.587  1.321  1.266  0.000  0.000  490.14  488.28  102.55  385.73    0.00    0.00   0.052   0.105   0.164   0.162   0.138   0.225   0.212   0.208
 2017 228   279  11.50  26.40  17.50  2.762  1.395  1.347  2.743  1.395  1.347  0.000  0.000  492.90  491.02  103.94  387.08    0.00    0.00   0.056   0.111   0.174   0.172   0.146   0.239   0.227   0.222
 2017 229   280  11.40  27.90  16.40  2.763  1.394  1.349  2.743  1.394  1.349  0.000  0.000  495.67  493.76  105.34  388.43    0.00    0.00   0.056   0.111   0.173   0.172   0.146   0.240   0.228   0.223
 2017 230   281  11.40  29.40  20.70  2.901  1.450  1.418  2.868  1.450  1.418  0.000  0.000  498.57  496.63  106.79  389.85    0.00    0.00   0.376   0.283   0.219   0.146   0.098   0.125   0.094   0.077
 2017 231   282  11.30  26.80  17.10  2.735  1.355  1.339  2.694  1.355  1.339  0.000  0.000  501.30  499.33  108.14  391.18    0.00    0.00   0.374   0.286   0.200   0.130   0.086   0.111   0.083   0.069
 2017 232   283  11.20  26.00  14.50  2.630  1.316  1.291  2.607  1.316  1.291  0.000  0.000  503.93  501.93  109.46  392.48    0.00    0.00   0.355   0.275   0.194   0.127   0.083   0.108   0.082   0.067
 2017 233   284  11.20  26.80  15.40  2.673  1.345  1.317  2.663  1.345  1.317  0.000  0.000  506.60  504.60  110.80  393.79    0.00    0.00   0.357   0.279   0.199   0.132   0.086   0.112   0.084   0.070
 2017 234   285  11.10  27.70  19.80  2.767  1.375  1.371  2.746  1.375  1.371  0.000  0.000  509.37  507.34  112.18  395.16    0.00    0.00   0.380   0.294   0.204   0.134   0.087   0.114   0.086   0.071
 2017 235   286  11.00  27.10  19.60  2.727  1.340  1.359  2.699  1.340  1.359  0.000  0.000  512.10  510.04  113.52  396.52    0.00    0.00   0.386   0.294   0.202   0.130   0.084   0.110   0.083   0.069
 2017 236   287  11.00  24.70  12.20  2.503  1.216  1.255  2.472  1.216  1.255  0.000  0.000  514.60  512.51  114.73  397.78    0.00    0.00   0.354   0.271   0.189   0.120   0.078   0.102   0.077   0.064
 2017 237   288  10.90  23.60  11.90  2.441  1.186  1.235  2.421  1.186  1.235  0.000  0.000  517.04  514.93  115.92  399.01    0.00    0.00   0.343   0.266   0.187   0.121   0.077   0.101   0.077   0.064
 2017 238   289  10.80  22.70   9.10  2.336  1.121  1.194  2.315  1.121  1.194  0.000  0.000  519.38  517.25  117.04  400.21    0.00    0.00   0.328   0.256   0.181   0.118   0.075   0.098   0.075   0.063
 2017 239   290  10.70  22.50  11.90  2.365  1.123  1.224  2.347  1.123  1.224  0.000  0.000  521.74  519.60  118.16  401.43    0.00    0.00   0.332   0.262   0.186   0.123   0.077   0.101   0.078   0.065
 2017 240   291  10.70  22.80  14.70  2.432  1.133  1.277  2.410  1.133  1.277  0.000  0.000  524.18  522.01  119.30  402.71    0.00    0.00   0.353   0.270   0.192   0.128   0.080   0.105   0.081   0.068
 2017 241   292  10.60  23.40  15.60  2.453  1.126  1.308  2.433  1.126  1.308  0.000  0.000  526.63  524.44  120.42  404.02    0.00    0.00   0.374   0.280   0.193   0.127   0.080   0.105   0.081   0.068
 2017 242   293  10.50  24.60  13.50  2.431  1.102  1.318  2.419  1.102  1.318  0.000  0.000  529.06  526.86  121.52  405.33    0.00    0.00   0.380   0.289   0.193   0.125   0.079   0.104   0.080   0.067
 2017 243   294  10.50  24.50  12.90  2.420  1.073  1.335  2.408  1.073  1.335  0.000  0.000  531.48  529.27  122.60  406.67    0.00    0.00   0.380   0.293   0.199   0.128   0.080   0.106   0.081   0.069
 2017 244   295  10.40  25.00  16.10  2.478  1.066  1.393  2.459  1.066  1.393  0.000  0.000  533.96  531.72  123.66  408.06    0.00    0.00   0.395   0.304   0.207   0.135   0.084   0.111   0.086   0.072
 2017 245   296  10.30  21.80   9.80  2.242  0.931  1.285  2.216  0.931  1.285  0.000  0.000  536.20  533.94  124.59  409.35    0.00    0.00   0.360   0.279   0.192   0.125   0.078   0.103   0.080   0.067
 2017 246   297  10.20  20.60   7.20  2.138  0.870  1.250  2.121  0.870  1.250  0.000  0.000  538.34  536.06  125.47  410.60    0.00    0.00   0.346   0.271   0.188   0.123   0.076   0.101   0.078   0.066
 2017 247   298  10.20  22.10  12.10  2.280  0.903  1.362  2.265  0.903  1.362  0.000  0.000  540.62  538.33  126.37  411.96    0.00    0.00   0.372   0.294   0.207   0.135   0.084   0.111   0.086   0.073
 2017 248   299  10.10  26.80  17.40  2.499  0.953  1.524  2.477  0.953  1.524  0.000  0.000  543.12  540.80  127.32  413.48    0.00    0.00   0.411   0.328   0.233   0.151   0.094   0.125   0.098   0.083
 2017 249   300  10.00  26.00   9.70  2.309  0.847  1.438  2.285  0.847  1.438  0.000  0.000  545.43  543.09  128.17  414.92    0.00    0.00   0.382   0.308   0.222   0.144   0.090   0.119   0.093   0.079
 2017 250   301   9.90  19.30   7.00  2.049  0.725  1.303  2.028  0.725  1.303  0.000  0.000  547.47  545.12  128.89  416.22    0.00    0.00   0.342   0.279   0.202   0.131   0.082   0.109   0.085   0.073
 2017 251   302   9.80  17.40   8.70  2.010  0.688  1.306  1.994  0.688  1.306  0.000  0.000  549.48  547.11  129.58  417.53    0.00    0.00   0.338   0.278   0.204   0.132   0.083   0.111   0.086   0.074
 2017 252   303   9.80  20.10  10.70  2.127  0.701  1.411  2.112  0.701  1.411  0.000  0.000  551.61  549.22  130.28  418.94    0.00    0.00   0.360   0.300   0.222   0.144   0.090   0.121   0.094   0.080
 2017 253   304   9.70  22.60  10.90  2.183  0.691  1.478  2.169  0.691  1.478  0.000  0.000  553.80  551.39  130.97  420.42    0.00    0.00   0.066   0.149   0.195   0.181   0.144   0.247   0.245   0.250
 2017 254   305   9.60  22.20   7.20  2.086  0.630  1.441  2.071  0.630  1.441  0.000  0.000  555.88  553.46  131.60  421.86    0.00    0.00   0.065   0.145   0.190   0.176   0.140   0.242   0.240   0.244
 2017 255   306   9.50  21.20   8.30  2.062  0.598  1.453  2.051  0.598  1.453  0.000  0.000  557.94  555.51  132.20  423.31    0.00    0.00   1.202   0.176   0.046   0.015   0.006   0.005   0.002   0.001
 2017 256   307   9.40  23.20   8.80  2.104  0.587  1.512  2.099  0.587  1.512  0.000  0.000  560.05  557.61  132.79  424.82    0.00    0.00   1.231   0.196   0.051   0.017   0.007   0.005   0.003   0.002
 2017 257   308   9.40  25.50   8.80  2.166  0.569  1.586  1.986  0.569  1.417  0.000  0.000  562.21  559.60  133.36  426.24    0.00    0.00   1.132   0.198   0.052   0.018   0.007   0.006   0.003   0.002
 2017 258   309   9.30  25.90  10.50  2.185  0.548  1.629  1.845  0.548  1.298  0.000  0.000  564.40  561.44  133.91  427.54    0.00    0.00   1.016   0.196   0.052   0.018   0.007   0.006   0.003   0.002
 2017 259   310   9.20  26.30  12.70  2.211  0.524  1.678  1.715  0.524  1.190  0.000  0.000  566.61  563.16  134.43  428.73    0.00    0.00   0.911   0.194   0.052   0.018   0.007   0.006   0.003   0.002
 2017 260   311   9.10  29.50  14.70  2.307  0.516  1.779  1.610  0.516  1.094  0.000  0.000  568.92  564.77  134.95  429.82    0.00    0.00   0.816   0.192   0.052   0.017   0.007   0.006   0.003   0.002
 2017 261   312   9.00  29.50  17.70  2.334  0.496  1.829  1.506  0.496  1.010  0.000  0.000  571.25  566.27  135.44  430.83    0.00    0.00   0.735   0.190   0.051   0.017   0.007   0.006   0.003   0.002
 2017 262   313   9.00  26.60  10.30  2.131  0.428  1.695  1.364  0.428  0.936  0.000  0.000  573.38  567.64  135.87  431.77    0.00    0.00   0.663   0.188   0.051   0.017   0.007   0.006   0.003   0.002
 2017 263   314   8.90  26.70  15.80  2.206  0.419  1.780  1.595  0.419  1.176  0.000  0.000  575.59  569.23  136.29  432.94    0.00    0.00   0.905   0.186   0.051   0.017   0.007   0.006   0.003   0.002
 2017 264   315   8.80  26.20  17.00  2.217  0.398  1.811  1.790  0.398  1.393  0.000  0.000  577.80  571.02  136.69  434.34    0.00    0.00   1.124   0.184   0.051   0.017   0.007   0.006   0.003   0.002
 2017 265   316   8.70  32.50  20.90  2.417  0.411  1.997  1.688  0.411  1.277  0.000  0.000  580.22  572.71  137.10  435.61    0.00    0.00   1.010   0.182   0.051   0.017   0.007   0.006   0.003   0.002
 2017 266   317   8.60  32.30  20.10  2.369  0.385  1.978  1.556  0.385  1.172  0.000  0.000  582.59  574.27  137.48  436.78    0.00    0.00   0.907   0.180   0.050   0.017   0.007   0.006   0.003   0.002
 2017 267   318   8.50  33.30  19.20  2.349  0.364  1.980  1.441  0.364  1.077  0.000  0.000  584.94  575.71  137.85  437.86    0.00    0.00   0.815   0.178   0.050   0.017   0.007   0.005   0.003   0.002
 2017 268   319   8.50  33.00  18.50  2.329  0.345  1.979  1.340  0.345  0.994  0.000  0.000  587.27  577.05  138.19  438.86    0.00    0.00   0.734   0.177   0.050   0.017   0.007   0.005   0.003   0.002
 2017 269   320   8.40  31.50  17.40  2.245  0.317  1.923  1.237  0.317  0.921  0.000  0.000  589.51  578.28  138.51  439.78    0.00    0.00   0.662   0.175   0.050   0.017   0.007   0.005   0.003   0.002
 2017 270   321   8.30  32.30  17.90  2.245  0.304  1.937  1.158  0.304  0.854  0.000  0.000  591.76  579.44  138.81  440.63    0.00    0.00   0.597   0.173   0.050   0.017   0.007   0.005   0.003   0.002
 2017 271   322   8.20  31.40  14.10  2.135  0.275  1.853  1.068  0.275  0.794  0.000  0.000  593.89  580.51  139.09  441.42    0.00    0.00   0.539   0.172   0.050   0.017   0.007   0.005   0.003   0.002
 2017 272   323   8.10  20.70   6.90  1.741  0.215  1.520  0.955  0.215  0.740  0.000  0.000  595.63  581.46  139.30  442.16    0.00    0.00   0.487   0.170   0.049   0.017   0.007   0.005   0.003   0.002
 2017 273   324   8.00  21.70  11.60  1.816  0.217  1.594  0.907  0.217  0.690  0.000  0.000  597.45  582.37  139.52  442.85    0.00    0.00   0.439   0.169   0.049   0.017   0.007   0.005   0.003   0.002
 2017 274   325   8.00  19.70   7.00  1.697  0.194  1.498  0.840  0.194  0.646  0.000  0.000  599.15  583.21  139.71  443.50    0.00    0.00   0.396   0.167   0.049   0.017   0.007   0.005   0.003   0.002
 2017 275   326   7.90  20.20   7.20  1.690  0.186  1.499  0.792  0.186  0.606  0.000  0.000  600.84  584.00  139.90  444.11    0.00    0.00   0.358   0.166   0.049   0.017   0.007   0.005   0.003   0.002
 2017 276   327   7.80  20.70  13.90  1.781  0.188  1.588  0.758  0.188  0.569  0.000  0.000  602.62  584.76  140.09  444.67    0.00    0.00   0.323   0.164   0.049   0.017   0.007   0.005   0.003   0.002
 2017 277   328   7.70  27.40  17.70  1.965  0.208  1.751  0.744  0.208  0.536  0.000  0.000  604.58  585.51  140.30  445.21    0.00    0.00   0.291   0.163   0.049   0.017   0.007   0.005   0.003   0.002
 2017 278   329   7.60  25.10  16.90  1.875  0.198  1.671  0.772  0.198  0.575  0.000  0.000  606.46  586.28  140.49  445.79    0.00    0.00   0.331   0.162   0.049   0.017   0.006   0.005   0.003   0.002
 2017 279   330   7.50  23.80  10.90  1.739  0.186  1.550  0.795  0.186  0.609  0.000  0.000  608.20  587.07  140.68  446.39    0.00    0.00   0.367   0.160   0.048   0.017   0.006   0.005   0.003   0.002
 2017 280   331   7.50  24.30  15.50  1.815  0.195  1.618  0.815  0.195  0.620  0.000  0.000  610.01  587.89  140.87  447.02    0.00    0.00   0.380   0.159   0.048   0.017   0.006   0.005   0.003   0.002
 2017 281   332   7.40  19.80  16.10  1.705  0.180  1.519  1.206  0.180  1.026  0.000  0.000  611.72  589.09  141.05  448.04    0.00    0.00   0.787   0.158   0.048   0.017   0.006   0.005   0.003   0.002
 2017 282   333   7.30  23.10   9.60  1.687  0.177  1.504  1.681  0.177  1.504  0.000  0.000  613.40  590.78  141.23  449.54    0.00    0.00   1.288   0.142   0.044   0.015   0.006   0.005   0.003   0.002
 2017 283   334   7.20  25.30  10.60  1.745  0.187  1.555  1.742  0.187  1.555  0.000  0.000  615.15  592.52  141.42  451.10    0.00    0.00   0.467   0.263   0.231   0.155   0.099   0.138   0.109   0.094
 2017 284   335   7.10  25.90  13.20  1.769  0.189  1.576  1.765  0.189  1.576  0.000  0.000  616.92  594.28  141.61  452.68    0.00    0.00   1.370   0.135   0.042   0.015   0.006   0.005   0.002   0.002
 2017 285   336   7.10  16.20  12.60  1.549  0.162  1.380  1.543  0.162  1.380  0.000  0.000  618.47  595.83  141.77  454.06    0.00    0.00   0.393   0.275   0.228   0.127   0.081   0.112   0.089   0.076
 2017 286   337   7.00  14.50  12.60  1.506  0.159  1.342  1.501  0.159  1.342  0.000  0.000  619.97  597.33  141.93  455.40    0.00    0.00   0.387   0.295   0.238   0.112   0.070   0.098   0.077   0.066
 2017 287   338   6.90  14.00  11.70  1.461  0.156  1.302  1.458  0.156  1.302  0.000  0.000  621.44  598.79  142.08  456.70    0.00    0.00   0.373   0.283   0.234   0.110   0.068   0.095   0.075   0.065
 2017 288   339   6.80  21.50  10.80  1.581  0.168  1.409  1.577  0.168  1.409  0.000  0.000  623.02  600.36  142.25  458.11    0.00    0.00   0.390   0.297   0.248   0.145   0.086   0.099   0.078   0.067
