*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    
 2017 003    54   4.10   2.60  -2.40  0.330  0.000  0.330  0.330  0.000  0.330  0.000  0.000   24.14   24.14    0.00   24.14    0.00    0.00   0.094   0.072   0.050   0.024   0.019   0.029   0.023   0.019
 2017 004    55   4.10   2.90   1.20  0.368  0.000  0.368  0.368  0.000  0.368  0.000  0.000   24.51   24.51    0.00   24.51    0.00    0.00   0.104   0.080   0.056   0.027   0.022   0.033   0.025   0.021
 2017 005    56   4.10   2.30 -13.60  0.263  0.000  0.263  0.263  0.000  0.263  0.000  0.000   24.77   24.77    0.00   24.77    0.00    0.00   0.074   0.057   0.041   0.019   0.015   0.023   0.018   0.015
 2017 006    57   4.10   0.00 -14.60  0.162  0.000  0.162  0.162  0.000  0.162  0.000  0.000   24.93   24.93    0.00   24.93    0.00    0.00   0.045   0.035   0.025   0.012   0.009   0.014   0.011   0.009
 2017 007    58   4.20   0.00 -20.10  0.150  0.000  0.150  0.150  0.000  0.150  0.000  0.000   25.08   25.08    0.00   25.08    0.00    0.00   0.042   0.032   0.023   0.011   0.009   0.013   0.010   0.009
 2017 008    59   4.20   0.00 -18.50  0.154  0.000  0.154  0.154  0.000  0.154  0.000  0.000   25.24   25.24    0.00   25.24    0.00    0.00   0.043   0.033   0.024   0.012   0.009   0.014   0.011   0.009
 2017 009    60   4.20   0.00 -18.00  0.156  0.000  0.156  0.156  0.000  0.156  0.000  0.000   25.39   25.39    0.00   25.39    0.00    0.00   0.043   0.033   0.024   0.012   0.009   0.014   0.011   0.009
 2017 010    61   4.20   0.00 -13.30  0.169  0.000  0.169  0.169  0.000  0.169  0.000  0.000   25.56   25.56    0.00   25.56    0.00    0.00   0.047   0.036   0.026   0.013   0.010   0.015   0.012   0.010
 2017 011    62   4.30   3.70  -4.50  0.419  0.000  0.419  0.419  0.000  0.419  0.000  0.000   25.98   25.98    0.00   25.98    0.00    0.00   0.120   0.088   0.065   0.032   0.024   0.037   0.029   0.024
 2017 012    63   4.30   9.00  -4.50  0.719  0.000  0.719  0.719  0.000  0.719  0.000  0.000   26.70   26.70    0.00   26.70    0.00    0.00   0.215   0.151   0.109   0.053   0.041   0.062   0.048   0.040
 2017 013    64   4.30   3.40  -7.00  0.383  0.000  0.383  0.383  0.000  0.383  0.000  0.000   27.08   27.08    0.00   27.08    0.00    0.00   0.115   0.081   0.058   0.028   0.022   0.033   0.025   0.021
 2017 014    65   4.40   1.80  -9.70  0.273  0.000  0.273  0.273  0.000  0.273  0.000  0.000   27.36   27.36    0.00   27.36    0.00    0.00   0.081   0.058   0.041   0.020   0.015   0.023   0.018   0.015
 2017 015    66   4.40   0.00  -8.80  0.192  0.000  0.192  0.192  0.000  0.192  0.000  0.000   27.55   27.55    0.00   27.55    0.00    0.00   0.057   0.041   0.029   0.014   0.011   0.017   0.013   0.011
 2017 016    67   4.50   0.00  -7.70  0.199  0.000  0.199  0.199  0.000  0.199  0.000  0.000   27.75   27.75    0.00   27.75    0.00    0.00   0.059   0.042   0.030   0.015   0.011   0.017   0.013   0.011
 2017 017    68   4.50   0.60  -3.30  0.240  0.000  0.240  0.240  0.000  0.240  0.000  0.000   27.99   27.99    0.00   27.99    0.00    0.00   0.070   0.051   0.037   0.018   0.014   0.021   0.016   0.013
 2017 018    69   4.50   2.70  -0.10  0.382  0.000  0.382  0.382  0.000  0.382  0.000  0.000   28.37   28.37    0.00   28.37    0.00    0.00   0.109   0.081   0.064   0.030   0.021   0.032   0.025   0.020
 2017 019    70   4.60   2.40   0.00  0.369  0.000  0.369  0.369  0.000  0.369  0.000  0.000   28.74   28.74    0.00   28.74    0.00    0.00   0.103   0.078   0.066   0.031   0.020   0.030   0.023   0.019
 2017 020    71   4.60   2.30  -0.60  0.359  0.000  0.359  0.359  0.000  0.359  0.000  0.000   29.10   29.10    0.00   29.10    0.00    0.00   0.099   0.076   0.063   0.031   0.019   0.029   0.022   0.019
 2017 021    72   4.70   3.40   1.50  0.469  0.000  0.469  0.469  0.000  0.469  0.000  0.000   29.57   29.57    0.00   29.57    0.00    0.00   0.130   0.099   0.083   0.041   0.025   0.038   0.029   0.024
 2017 022    73   4.70   7.70   3.80  0.849  0.000  0.849  0.849  0.000  0.849  0.000  0.000   30.41   30.41    0.00   30.41    0.00    0.00   0.237   0.179   0.150   0.075   0.045   0.068   0.052   0.044
 2017 023    74   4.70  12.80  -0.30  0.883  0.000  0.883  0.883  0.000  0.883  0.000  0.000   31.30   31.30    0.00   31.30    0.00    0.00   0.244   0.186   0.155   0.080   0.047   0.071   0.055   0.046
 2017 024    75   4.80   3.60   1.30  0.496  0.000  0.496  0.496  0.000  0.496  0.000  0.000   31.79   31.79    0.00   31.79    0.00    0.00   0.136   0.104   0.087   0.046   0.026   0.040   0.031   0.026
 2017 025    76   4.80   4.50   1.20  0.593  0.000  0.593  0.593  0.000  0.593  0.000  0.000   32.39   32.39    0.00   32.39    0.00    0.00   0.161   0.124   0.103   0.056   0.032   0.048   0.037   0.031
 2017 026    77   4.90   2.70   0.80  0.420  0.000  0.420  0.420  0.000  0.420  0.000  0.000   32.81   32.81    0.00   32.81    0.00    0.00   0.116   0.088   0.072   0.040   0.022   0.034   0.026   0.022
 2017 027    78   4.90   3.20  -1.70  0.451  0.000  0.451  0.451  0.000  0.451  0.000  0.000   33.26   33.26    0.00   33.26    0.00    0.00   0.127   0.093   0.077   0.043   0.024   0.036   0.028   0.023
 2017 028    79   5.00   0.00  -4.60  0.232  0.000  0.232  0.232  0.000  0.232  0.000  0.000   33.49   33.49    0.00   33.49    0.00    0.00   0.065   0.048   0.039   0.022   0.012   0.019   0.014   0.012
 2017 029    80   5.10   0.00  -5.20  0.235  0.000  0.235  0.235  0.000  0.235  0.000  0.000   33.72   33.72    0.00   33.72    0.00    0.00   0.065   0.048   0.040   0.023   0.013   0.019   0.015   0.012
 2017 030    81   5.10   0.00  -4.60  0.237  0.000  0.237  0.237  0.000  0.237  0.000  0.000   33.96   33.96    0.00   33.96    0.00    0.00   0.065   0.049   0.040   0.023   0.013   0.019   0.015   0.012
 2017 031    82   5.20   0.00 -12.70  0.212  0.000  0.212  0.212  0.000  0.212  0.000  0.000   34.17   34.17    0.00   34.17    0.00    0.00   0.058   0.043   0.036   0.021   0.012   0.017   0.013   0.011
 2017 032    83   5.20   3.40  -6.00  0.469  0.000  0.469  0.469  0.000  0.469  0.000  0.000   34.64   34.64    0.00   34.64    0.00    0.00   0.128   0.096   0.078   0.046   0.028   0.038   0.030   0.025
 2017 033    84   5.30   4.40  -0.70  0.626  0.000  0.626  0.626  0.000  0.626  0.000  0.000   35.27   35.27    0.00   35.27    0.00    0.00   0.170   0.127   0.104   0.062   0.038   0.052   0.040   0.033
 2017 034    85   5.30   1.70 -10.60  0.316  0.000  0.316  0.316  0.000  0.316  0.000  0.000   35.58   35.58    0.00   35.58    0.00    0.00   0.085   0.064   0.053   0.031   0.020   0.026   0.020   0.017
 2017 035    86   5.40   0.00 -10.40  0.229  0.000  0.229  0.229  0.000  0.229  0.000  0.000   35.81   35.81    0.00   35.81    0.00    0.00   0.061   0.046   0.038   0.023   0.014   0.019   0.015   0.012
 2017 036    87   5.50   0.00 -11.10  0.230  0.000  0.230  0.230  0.000  0.230  0.000  0.000   36.04   36.04    0.00   36.04    0.00    0.00   0.061   0.046   0.038   0.023   0.014   0.020   0.015   0.012
 2017 037    88   5.50   0.00  -4.30  0.255  0.000  0.255  0.255  0.000  0.255  0.000  0.000   36.30   36.30    0.00   36.30    0.00    0.00   0.068   0.052   0.042   0.026   0.016   0.022   0.017   0.014
