*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2017 013    64    1.2    9.2   10.4    4.3    8.6   0.58    3.4   -7.0   -2.4   -0.4   -2.3   -2.4   -0.4  396.9  400.5
 2017 014    65    0.0    9.3   10.4    4.4    8.8   0.57    1.8   -9.7   -4.6   -2.4   -9.9   -4.6   -2.4  369.0  400.5
 2017 015    66    0.0    9.3   10.5    4.4    8.8   0.57    0.0   -8.8   -4.9   -3.2   -8.3   -4.9   -3.2  238.0  400.5
 2017 016    67    0.0    9.3   10.5    4.5    9.0   0.57    0.0   -7.7   -4.3   -2.8   -6.8   -4.3   -2.8  127.2  400.5
 2017 017    68    2.7    9.3   10.5    4.5    9.0   0.57    0.6   -3.3   -1.6   -0.8   -3.9   -1.6   -0.8  134.7  400.5
 2017 018    69   20.8    9.4   10.5    4.5    9.0   0.58    2.7   -0.1    1.1    1.7    1.2    1.1    1.7  270.0  400.5
 2017 019    70    0.0    9.4   10.5    4.6    9.2   0.57    2.4    0.0    1.1    1.5    0.7    1.1    1.5  379.9  400.5
 2017 020    71    0.0    9.4   10.6    4.6    9.2   0.57    2.3   -0.6    0.7    1.3    0.0    0.7    1.3  278.2  400.5
 2017 021    72    3.0    9.4   10.6    4.7    9.4   0.57    3.4    1.5    2.3    2.7    2.5    2.3    2.7  248.9  400.5
 2017 022    73    0.1    9.5   10.6    4.7    9.4   0.57    7.7    3.8    5.5    6.3    5.3    5.5    6.3  252.0  400.5
 2017 023    74    0.0    9.5   10.7    4.7    9.4   0.58   12.8   -0.3    5.5    8.1    4.5    5.5    8.1  227.7  400.5
 2017 024    75    0.1    9.5   10.7    4.8    9.6   0.57    3.6    1.3    2.3    2.8    2.1    2.3    2.8  308.3  400.5
 2017 025    76    0.0    9.6   10.7    4.8    9.6   0.58    4.5    1.2    2.7    3.3    1.5    2.7    3.3  203.9  400.5
 2017 026    77    2.0    9.6   10.7    4.9    9.8   0.57    2.7    0.8    1.6    2.0    0.9    1.6    2.0  329.7  400.5
 2017 027    78    0.1    9.6   10.8    4.9    9.8   0.58    3.2   -1.7    0.5    1.5    0.1    0.5    1.5  471.3  400.5
 2017 028    79    0.0    9.7   10.8    5.0   10.0   0.57    0.0   -4.6   -2.5   -1.6   -3.9   -2.5   -1.6  476.3  400.5
 2017 029    80    0.0    9.7   10.8    5.1   10.2   0.57    0.0   -5.2   -2.9   -1.8   -6.1   -2.9   -1.8  510.8  400.5
 2017 030    81    0.0    9.7   10.9    5.1   10.2   0.57    0.0   -4.6   -2.5   -1.6   -6.2   -2.5   -1.6  335.2  400.5
 2017 031    82    0.0    9.8   10.9    5.2   10.4   0.57    0.0  -12.7   -7.0   -4.4  -10.2   -7.0   -4.4  274.4  400.5
