DAY HR   LAT     LON     DEP       CON
184 10 36.45 -86.15 0.69E-03 1.3E-6    
184 10 36.50 -86.15 0.37E-03 3.1E-8    
184 10 36.55 -86.15 0.25E-04 9.4E-8    
184 10 36.60 -86.15 0.14E-04 6.8E-9    
184 10 36.65 -86.15 0.71E-07 5.4E-10    
184 10 36.70 -86.15 0.33E-07 4.9E-14    
184 10 36.75 -86.15 0.41E-07 3.9E-10    
184 10 36.80 -86.15 0.61E-13 0.0    
184 10 35.85 -86.10 0.19E-02 3.8E-5    
184 10 35.90 -86.10 0.85E-02 2.6E-5    
184 10 35.95 -86.10 0.17E-01 6.8E-5    
184 10 36.00 -86.10 0.16E-01 9.9E-5    
184 10 36.05 -86.10 0.43E-02 1.5E-5    
184 10 36.10 -86.10 0.14E-01 3.7E-5    
184 10 36.15 -86.10 0.91E-02 5.9E-5    
184 10 36.20 -86.10 0.50E-02 2.3E-5    
184 10 36.25 -86.10 0.66E-02 3.6E-5    
184 10 36.30 -86.10 0.73E-02 1.9E-5    
184 10 36.35 -86.10 0.49E-02 2.8E-5    
184 10 36.40 -86.10 0.43E-02 1.2E-5    
184 10 36.45 -86.10 0.38E-03 6.0E-6    
184 10 36.50 -86.10 0.72E-03 1.1E-7    
184 10 36.55 -86.10 0.17E-04 9.4E-8    
184 10 36.60 -86.10 0.19E-04 4.3E-8    
184 10 36.65 -86.10 0.62E-07 4.4E-10    
184 10 36.70 -86.10 0.19E-06 4.7E-9    
184 10 36.75 -86.10 0.79E-08 2.1E-10    
184 10 36.80 -86.10 0.28E-13 0.0    
184 10 35.85 -86.05 0.19E-02 0.0    
184 10 35.90 -86.05 0.10E-01 3.2E-5    
184 10 35.95 -86.05 0.60E-02 2.3E-5    
184 10 36.00 -86.05 0.11E-01 5.8E-5    
184 10 36.05 -86.05 0.71E-02 2.3E-5    
184 10 36.10 -86.05 0.82E-02 4.6E-5    
184 10 36.15 -86.05 0.94E-02 3.8E-5    
184 10 36.20 -86.05 0.66E-02 3.3E-5    
184 10 36.25 -86.05 0.37E-02 2.4E-5    
184 10 36.30 -86.05 0.28E-02 9.4E-6    
184 10 36.35 -86.05 0.36E-02 1.6E-5    
184 10 36.40 -86.05 0.37E-02 1.0E-5    
184 10 36.45 -86.05 0.14E-02 5.9E-6    
184 10 36.50 -86.05 0.18E-02 2.9E-9    
184 10 36.55 -86.05 0.22E-05 2.1E-9    
184 10 36.60 -86.05 0.59E-05 7.2E-9    
184 10 36.65 -86.05 0.35E-06 1.8E-9    
184 10 36.70 -86.05 0.14E-07 3.3E-12    
184 10 36.75 -86.05 0.45E-08 0.0    
184 10 36.80 -86.05 0.43E-10 1.2E-12    
184 10 35.85 -86.00 0.27E-02 0.0    
184 10 35.90 -86.00 0.65E-02 5.3E-5    
184 10 35.95 -86.00 0.88E-02 6.2E-5    
184 10 36.00 -86.00 0.73E-02 2.7E-5    
184 10 36.05 -86.00 0.12E-01 7.9E-5    
184 10 36.10 -86.00 0.86E-02 1.7E-5    
184 10 36.15 -86.00 0.10E-01 3.4E-5    
184 10 36.20 -86.00 0.89E-02 4.7E-5    
184 10 36.25 -86.00 0.16E-02 5.5E-6    
184 10 36.30 -86.00 0.20E-02 5.0E-6    
184 10 36.35 -86.00 0.26E-02 8.2E-6    
184 10 36.40 -86.00 0.14E-02 3.8E-6    
184 10 36.45 -86.00 0.79E-03 1.2E-6    
184 10 36.50 -86.00 0.27E-03 3.0E-6    
184 10 36.55 -86.00 0.82E-05 1.4E-9    
184 10 36.60 -86.00 0.10E-06 1.6E-10    
184 10 36.65 -86.00 0.18E-06 4.4E-9    
184 10 36.70 -86.00 0.34E-06 2.8E-9    
184 10 36.75 -86.00 0.31E-08 2.3E-12    
184 10 36.80 -86.00 0.60E-08 0.0    
184 10 35.90 -85.95 0.30E-02 2.2E-6    
184 10 35.95 -85.95 0.51E-02 4.1E-5    
184 10 36.00 -85.95 0.15E-01 1.9E-5    
184 10 36.05 -85.95 0.75E-02 2.3E-5    
184 10 36.10 -85.95 0.93E-02 3.6E-5    
184 10 36.15 -85.95 0.72E-02 7.0E-5    
184 10 36.20 -85.95 0.49E-02 1.3E-5    
184 10 36.25 -85.95 0.23E-02 6.1E-6    
184 10 36.30 -85.95 0.31E-02 2.2E-5    
184 10 36.35 -85.95 0.29E-02 7.7E-6    
184 10 36.40 -85.95 0.21E-02 8.8E-6    
184 10 36.45 -85.95 0.52E-03 8.2E-8    
184 10 36.50 -85.95 0.19E-04 1.1E-9    
184 10 36.55 -85.95 0.84E-05 2.8E-8    
184 10 36.60 -85.95 0.12E-05 2.3E-8    
184 10 36.65 -85.95 0.45E-07 1.2E-10    
184 10 36.70 -85.95 0.30E-06 1.0E-9    
184 10 36.75 -85.95 0.42E-08 3.6E-11    
184 10 36.80 -85.95 0.14E-08 0.0    
184 10 36.85 -85.95 0.22E-11 2.8E-14    
184 10 35.80 -85.90 0.24E-07 0.0    
184 10 35.85 -85.90 0.47E-06 0.0    
184 10 35.90 -85.90 0.85E-02 2.6E-5    
184 10 35.95 -85.90 0.84E-02 1.0E-4    
184 10 36.00 -85.90 0.19E-02 1.2E-6    
184 10 36.05 -85.90 0.66E-02 9.3E-6    
184 10 36.10 -85.90 0.11E-01 4.5E-5    
184 10 36.15 -85.90 0.11E-01 7.6E-5    
184 10 36.20 -85.90 0.55E-02 2.1E-5    
184 10 36.25 -85.90 0.39E-02 2.0E-5    
184 10 36.30 -85.90 0.23E-02 9.0E-6    
184 10 36.35 -85.90 0.11E-02 3.7E-6    
184 10 36.40 -85.90 0.38E-02 1.6E-5    
184 10 36.45 -85.90 0.10E-02 1.2E-6    
184 10 36.50 -85.90 0.29E-03 9.8E-7    
184 10 36.55 -85.90 0.10E-04 2.2E-7    
184 10 36.60 -85.90 0.90E-05 1.8E-8    
184 10 36.65 -85.90 0.28E-07 1.3E-11    
184 10 36.70 -85.90 0.60E-07 3.7E-10    
184 10 36.75 -85.90 0.14E-06 3.6E-10    
184 10 36.80 -85.90 0.48E-09 6.2E-12    
184 10 36.85 -85.90 0.62E-10 5.9E-13    
184 10 35.80 -85.85 0.11E-06 0.0    
184 10 35.85 -85.85 0.12E-04 0.0    
184 10 35.90 -85.85 0.31E-02 1.9E-5    
184 10 35.95 -85.85 0.17E-02 0.0    
184 10 36.00 -85.85 0.87E-02 6.3E-5    
184 10 36.05 -85.85 0.13E-01 4.7E-5    
184 10 36.10 -85.85 0.11E-01 3.9E-5    
184 10 36.15 -85.85 0.89E-02 4.4E-5    
184 10 36.20 -85.85 0.61E-02 1.6E-5    
184 10 36.25 -85.85 0.40E-02 2.0E-5    
184 10 36.30 -85.85 0.65E-02 2.6E-5    
184 10 36.35 -85.85 0.17E-02 2.2E-6    
184 10 36.40 -85.85 0.36E-03 3.8E-7    
