*GROWTH ASPECTS OUTPUT FILE

*RUN   1        :  X304C 0 kg N/ha         
 MODEL          : MZCER020 - MAIZE     
 EXPERIMENT     : IBWA8301 MZ     IBWA8301MZ N X VAR WAPIO, IBSNAT EXP.1983-4   
 TREATMENT  1   :  X304C 0 kg N/ha         

@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  CWAD  G#AD  GWGD  HIAD  PWAD  P#AD  WSPD  WSGD  NSTD  EWSD  LN%D  SH%D  HIPD  PWDD  PWTD    SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D  RL10  CDAD  LDAD  SDAD
 1984 020    59    51  19.0     3  1.96  2021   241     0   671  2262     0   0.0 0.000     0     0 0.000 0.000 0.249 0.000  1.51  0.00  0.00     0     0    96.8  0.00  0.00  0.75  2.96  2.46  1.97  1.33  1.79  0.49  0.00  0.00  0.00  0.00     0     0     0
 1984 021    60    52  19.0     3  1.96  2079   283     0   710  2361     0   0.0 0.000     0     0 0.000 0.000 0.271 0.000  1.47  0.00  0.00     0     0    94.3  0.00  0.00  0.76  3.12  2.62  2.10  1.39  1.83  0.55  0.00  0.00  0.00  0.00     0     0     0
 1984 022    61    53  20.0     3  1.97  2139   333     0   742  2472     0   0.0 0.000     0     0 0.000 0.000 0.288 0.000  1.43  0.00  0.00     0     0    91.9  0.00  0.00  0.77  3.25  2.75  2.20  1.44  1.86  0.60  0.00  0.00  0.00  0.00     0     0     0
 1984 023    62    54  20.0     3  1.96  2192   383     0   773  2575     0   0.0 0.000     0     0 0.000 0.000 0.313 0.000  1.39  0.00  0.00     0     0    89.4  0.00  0.00  0.78  3.23  2.90  2.33  1.50  1.90  0.64  0.00  0.00  0.00  0.00     0     0     0
 1984 024    63    55  21.0     3  1.96  2248   442     0   791  2689     0   0.0 0.000     0     0 0.000 0.000 0.333 0.000  1.35  0.00  0.00     0     0    87.0  0.00  0.00  0.79  3.21  2.99  2.40  1.53  1.91  0.67  0.00  0.00  0.00  0.00     0     0     0
 1984 025    64    56  21.0     3  1.94  2298   501     0   816  2799     0   0.0 0.000     0     0 0.000 0.000 0.359 0.000  1.31  0.00  0.00     0     0    84.6  0.00  0.00  0.81  3.20  3.12  2.50  1.58  1.94  0.70  0.00  0.00  0.00  0.00     0     0     0
 1984 026    65    57  21.0     3  1.93  2343   558     0   827  2901     0   0.0 0.000     0     0 0.000 0.000 0.382 0.000  1.28  0.00  0.00     0     0    82.2  0.00  0.00  0.81  3.28  3.16  2.54  1.60  1.95  0.71  0.00  0.00  0.00  0.00     0     0     0
 1984 027    66    58  22.0     3  1.91  2387   621     0   839  3008     0   0.0 0.000     0     0 0.000 0.000 0.390 0.000  1.26  0.00  0.00     0     0    79.8  0.00  0.00  0.82  3.33  3.22  2.58  1.62  1.96  0.73  0.00  0.00  0.00  0.00     0     0     0
 1984 028    67    59  22.0     3  1.88  2430   686     0   849  3115     0   0.0 0.000     0     0 0.000 0.000 0.402 0.000  1.23  0.00  0.00     0     0    77.5  0.00  0.00  0.83  3.38  3.27  2.62  1.64  1.96  0.73  0.00  0.00  0.00  0.00     0     0     0
 1984 029    68    60  23.0     3  1.86  2474   760     0   851  3234     0   0.0 0.000     0     0 0.000 0.000 0.410 0.000  1.20  0.00  0.00     0     0    75.3  0.00  0.00  0.84  3.40  3.29  2.63  1.64  1.96  0.73  0.00  0.00  0.00  0.00     0     0     0
 1984 030    69    61  23.0     3  1.84  2516   837     0   867  3353     0   0.0 0.000     0     0 0.000 0.000 0.424 0.000  1.18  0.00  0.00     0     0    73.1  0.00  0.00  0.85  3.48  3.37  2.70  1.67  1.98  0.74  0.00  0.00  0.00  0.00     0     0     0
 1984 031    70    62  23.0     3  1.80  2544   890     0   868  3434     0   0.0 0.000     0     0 0.000 0.000 0.438 0.000  1.16  0.00  0.00     0     0    70.9  0.00  0.00  0.86  3.48  3.38  2.70  1.67  1.98  0.73  0.00  0.00  0.00  0.00     0     0     0
 1984 032    71    63  24.0     3  1.77  2573   952     0   868  3525     0   0.0 0.000     0     0 0.000 0.000 0.432 0.000  1.15  0.00  0.00     0     0    68.7  0.00  0.00  0.87  3.49  3.38  2.71  1.68  1.97  0.73  0.00  0.00  0.00  0.00     0     0     0
 1984 033    72    64  24.0     3  1.74  2604  1019     0   869  3623     0   0.0 0.000     0     0 0.000 0.000 0.432 0.000  1.13  0.00  0.00     0     0    66.7  0.00  0.00  0.88  3.50  3.39  2.72  1.68  1.97  0.73  0.00  0.00  0.00  0.00     0     0     0
 1984 034    73    65  24.0     3  1.70  2626  1073     0   869  3699     0   0.0 0.000     0     0 0.000 0.000 0.436 0.000  1.12  0.00  0.00     0     0    64.7  0.00  0.00  0.88  3.50  3.40  2.72  1.68  1.96  0.73  0.00  0.00  0.00  0.00     0     0     0
 1984 035    74    66  25.0     3  1.69  2679  1097     0   869  3776     0   0.0 0.000     0     0 0.000 0.000 0.429 0.000  1.11  0.00  0.00     0     0    63.1  0.00  0.00  0.89  3.51  3.40  2.72  1.68  1.96  0.73  0.00  0.00  0.00  0.00     0     0     0
 1984 036    75    67  25.0     3  1.67  2717  1136     0   869  3853     0   0.0 0.000     0     0 0.000 0.000 0.419 0.000  1.11  0.00  0.00     0     0    61.4  0.00  0.00  0.90  3.51  3.41  2.73  1.68  1.95  0.72  0.00  0.00  0.00  0.00     0     0     0
 1984 037    76    68  25.0     3  1.66  2763  1201     0   874  3963     0   0.0 0.000     0     0 0.000 0.000 0.409 0.000  1.09  0.00  0.00     0     0    59.9  0.00  0.00  0.90  3.54  3.44  2.75  1.69  1.96  0.72  0.00  0.00  0.00  0.00     0     0     0
 1984 038    77    69  26.0     3  1.63  2798  1261     0   875  4058     0   0.0 0.000     0     0 0.000 0.000 0.409 0.000  1.07  0.00  0.00     0     0    58.4  0.00  0.00  0.91  3.55  3.44  2.76  1.69  1.95  0.72  0.00  0.00  0.00  0.00     0     0     0
 1984 039    78    70  26.0     3  1.61  2833  1332     0   901  4165     0   0.0 0.000     0     0 0.000 0.000 0.403 0.000  1.06  0.00  0.00     0     0    56.9  0.00  0.00  0.91  3.53  3.60  2.88  1.75  1.99  0.74  0.00  0.00  0.00  0.00     0     0     0
 1984 040    79    71  27.0     3  1.59  2866  1403     0   932  4269     0   0.0 0.000     0     0 0.000 0.000 0.403 0.000  1.04  0.00  0.00     0     0    55.5  0.00  0.00  0.92  3.51  3.77  3.02  1.82  2.03  0.75  0.00  0.00  0.00  0.00     0     0     0
 1984 041    80    72  27.0     3  1.57  2898  1482     0   951  4380     0   0.0 0.000     0     0 0.000 0.000 0.398 0.000  1.02  0.00  0.00     0     0    54.1  0.00  0.00  0.92  3.60  3.87  3.09  1.85  2.05  0.76  0.00  0.00  0.00  0.00     0     0     0
 1984 042    81    73  27.0     3  1.54  2928  1561     0   970  4489     0   0.0 0.000     0     0 0.000 0.000 0.393 0.000  1.01  0.00  0.00     0     0    52.7  0.00  0.00  0.93  3.70  3.97  3.17  1.89  2.07  0.76  0.01  0.00  0.00  0.00     0     0     0
 1984 043    82    74  28.0     3  1.52  2954  1633     0   993  4586     0   0.0 0.000     0     0 0.000 0.000 0.404 0.000  1.00  0.00  0.00     0     0    51.3  0.00  0.00  0.93  3.82  4.00  3.27  1.93  2.10  0.77  0.01  0.00  0.00  0.00     0     0     0
 1984 044    83    75  28.0     3  1.49  2977  1701     0   996  4678     0   0.0 0.000     0     0 0.000 0.000 0.409 0.000  0.99  0.00  0.00     0     0    49.9  0.00  0.00  0.94  3.84  4.00  3.28  1.94  2.09  0.77  0.01  0.00  0.00  0.00     0     0     0
 1984 045    84    76  29.0     3  1.46  2999  1772     0  1015  4771     0   0.0 0.000     0     0 0.000 0.000 0.412 0.000  0.98  0.00  0.00     0     0    48.6  0.00  0.00  0.94  3.93  4.00  3.35  1.97  2.11  0.78  0.01  0.00  0.00  0.00     0     0     0
 1984 046    85    77  29.0     3  1.43  3021  1845     0  1020  4866     0   0.0 0.000     0     0 0.000 0.000 0.414 0.000  0.97  0.00  0.00     0     0    47.3  0.00  0.00  0.95  3.96  4.00  3.38  1.98  2.12  0.78  0.01  0.00  0.00  0.00     0     0     0
 1984 047    86    78  29.0     3  1.40  3041  1913     0  1051  4954     0   0.0 0.000     0     0 0.000 0.000 0.418 0.000  0.96  0.00  0.00     0     0    46.0  0.00  0.00  0.95  4.00  4.00  3.49  2.04  2.15  0.79  0.02  0.00  0.00  0.00     0     0     0
 1984 048    87    79  30.0     3  1.37  3059  1979     0  1071  5038     0   0.0 0.000     0     0 0.000 0.000 0.422 0.000  0.95  0.00  0.00     0     0    44.7  0.00  0.00  0.95  4.00  4.00  3.58  2.08  2.17  0.80  0.02  0.00  0.00  0.00     0     0     0
 1984 049    88    80  30.0     3  1.34  3077  2044     0  1091  5120     0   0.0 0.000     0     0 0.000 0.000 0.424 0.000  0.94  0.00  0.00     0     0    43.5  0.00  0.00  0.96  4.00  4.00  3.65  2.12  2.19  0.81  0.03  0.00  0.00  0.00     0     0     0
 1984 050    89    81  30.0     4  1.29  3045  1728     0  1106  5178     0   0.0 0.000   405     0 0.000 0.000 0.425 0.000  1.02  0.00  0.08     0   405    42.4  0.00  0.00  0.96  4.00  4.00  3.72  2.15  2.21  0.82  0.03  0.00  0.00  0.00     0     0     0
 1984 051    90    82  30.0     4  1.25  3011  1758     0  1116  5250     0   0.0 0.000   480     0 0.000 0.000 0.294 0.000  1.03  0.00  0.09     0   480    41.6  0.00  0.00  0.97  4.00  4.00  3.76  2.16  2.22  0.82  0.04  0.00  0.00  0.00     0     0     0
