*GROWTH ASPECTS OUTPUT FILE

*RUN   1        :  DRYLAND - 0 KG N/HA     
 MODEL          : CRGRO020 - BAHIA     
 EXPERIMENT     : ALTH5601 G0     ALTH5601G0 BAHIA ON GREENVILLE FINE SANDY LOAM
 TREATMENT  1   :  DRYLAND - 0 KG N/HA     

@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  CWAD  G#AD   GWGD  HIAD  PWAD  P#AD  WSPD  WSGD  NSTD  LN%D  SH%D  HIPD  PWDD  PWTD  SLAD  CHTD  CWID  NWAD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D  RL10   CDAD   LDAD   SDAD
 1957 128   455   424   6.6     0  1.52   641   640     0   723  1281     0    0.0 0.000     0     0 0.000 0.000 0.000  1.18  0.00  0.00     0     0 236.5  0.34  0.10   0.0  1.89  0.25  1.02  0.10  0.09  0.09  0.09  0.09  0.09  0.09  0.09   2821   1439   1382
 1957 135   462   431   7.0     0  1.54   648   648     0   701  1296     0    0.0 0.000     0     0 0.000 0.000 0.000  1.18  0.00  0.00     0     0 237.5  0.36  0.10   0.0  1.89  0.23  0.99  0.10  0.09  0.09  0.09  0.09  0.09  0.09  0.09   2822   1440   1382
 1957 142   469   438   7.5     0  1.57   659   660     0   676  1320     0    0.0 0.000     0     0 0.000 0.000 0.000  1.19  0.00  0.00     0     0 238.4  0.39  0.10   0.0  1.89  0.23  0.95  0.10  0.09  0.09  0.09  0.09  0.09  0.09  0.09   2824   1441   1383
 1957 149   476   445   8.0     0  1.59   668   669     0   650  1337     0    0.0 0.000     0     0 0.000 0.000 0.000  1.19  0.00  0.00     0     0 238.5  0.42  0.10   0.0  1.89  0.20  0.91  0.10  0.09  0.09  0.09  0.09  0.09  0.09  0.09   2825   1442   1383
 1957 156   483   452   1.9     0  0.32   135   136     0   622   271     0    0.0 0.000     0     0 0.000 0.000 0.000  1.19  0.00  0.00     0     0 239.2  0.18 -0.17   0.0  1.89  0.19  0.87  0.10  0.09  0.09  0.09  0.09  0.08  0.08  0.08   3900   1979   1921
 1957 163   490   459   2.4     0  0.32   135   136     0   591   271     0    0.0 0.000     0     0 0.000 0.000 0.000  1.22  0.00  0.00     0     0 239.5  0.20 -0.15   0.0  1.89  0.17  0.83  0.09  0.08  0.08  0.08  0.08  0.08  0.08  0.08   3900   1979   1921
 1957 170   497   466   3.0     0  0.35   149   150     0   566   300     0    0.0 0.000     0     0 0.000 0.000 0.000  1.33  0.00  0.00     0     0 237.0  0.23 -0.12   0.0  1.89  0.16  0.79  0.09  0.08  0.08  0.08  0.08  0.08  0.08  0.08   3901   1980   1922
 1957 177   504   473   3.6     0  0.40   169   171     0   546   340     0    0.0 0.000     0     0 0.000 0.000 0.000  1.34  0.00  0.00     0     0 235.3  0.26 -0.09   0.0  1.89  0.15  0.76  0.09  0.08  0.08  0.08  0.08  0.08  0.08  0.08   3903   1981   1922
 1957 184   511   480   1.0     0  0.10    42    42     0   527    84     0    0.0 0.000     0     0 0.000 0.000 0.000  1.42  0.00  0.00     0     0 230.3  0.15 -0.20   0.0  1.89  0.15  0.74  0.10  0.08  0.08  0.08  0.08  0.08  0.07  0.07   4203   2130   2072
 1957 191   518   487   1.5     0  0.12    54    55     0   506   109     0    0.0 0.000     0     0 0.000 0.000 0.000  1.45  0.00  0.00     0     0 222.6  0.18 -0.18   0.0  1.89  0.14  0.71  0.10  0.08  0.08  0.08  0.08  0.07  0.07  0.07   4203   2130   2073
